epoch,lr,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,best_top1
1,2.9675491870897016e-05,1.3835060324247908,71.75297113752123,89.87691001697793,1.2807860266679385,77.86780383795309,90.53304904051173,77.86780383795309
2,2.8716150045992623e-05,1.3357381813088984,73.31281833616299,90.51358234295417,1.2433101763603276,79.57356076759062,90.57569296375266,79.57356076759062
3,2.7163902366467973e-05,1.3301932727744097,74.24660441426145,90.65152801358234,1.1900840243042659,80.76759061833688,91.64179104477611,80.76759061833688
4,2.5086589504429046e-05,1.2607282284767396,75.87011884550085,91.65959252971138,1.23938188569378,79.1044776119403,90.70362473347548,80.76759061833688
5,2.2575000000000003e-05,1.2391020695604573,76.41129032258064,91.82937181663837,1.1910414374205096,79.61620469083155,91.13006396588486,80.76759061833688
6,1.9738902366467975e-05,1.1942488771747855,77.68463497453311,92.84804753820033,1.215917210639921,78.93390191897655,90.91684434968018,80.76759061833688
7,1.670224767952466e-05,1.1692351113454595,78.75636672325976,93.08149405772495,1.1803077644884967,79.87206823027718,91.00213219616205,80.76759061833688
8,1.3597752320475354e-05,1.146352610280437,79.46731748726656,93.26188455008489,1.1626650797786997,80.5543710021322,92.0682302771855,80.76759061833688
9,1.0561097633532036e-05,1.1051826190159155,80.77249575551782,93.85611205432937,1.1638224425727626,80.85287846481876,91.30063965884861,80.85287846481876
10,7.725000000000007e-06,1.0695414157593797,81.13327674023769,94.59889643463498,1.156754076760461,80.51172707889125,91.5138592750533,80.85287846481876
11,5.213410495570962e-06,1.0603625227923303,81.21816638370119,94.80050933786077,1.1325056510693483,81.62046908315565,92.15351812366738,81.62046908315565
12,3.136097633532033e-06,1.073413379452427,81.69567062818336,94.19567062818336,1.1454214923163213,81.83368869936034,91.68443496801706,81.83368869936034
13,1.583849954007376e-06,1.025729506499496,82.76740237691001,95.33106960950764,1.1461407441320195,80.682302771855,92.28144989339019,81.83368869936034
14,6.245081291029857e-07,1.0226958223787754,82.72495755517826,95.27801358234295,1.142865308706186,81.83368869936034,91.68443496801706,81.83368869936034
15,3.0000000000000004e-07,1.0334667170037641,82.14134125636673,95.01273344651952,1.1496123370712499,80.76759061833688,91.47121535181236,81.83368869936034
